date,amazon_price,spy_price
14-06-2018,1723.86,278.73
15-06-2018,1715.97,277.13
18-06-2018,1723.79,276.56
19-06-2018,1734.78,275.5
20-06-2018,1750.08,275.97
21-06-2018,1730.22,274.24
22-06-2018,1715.67,274.74
25-06-2018,1663.15,271
26-06-2018,1691.09,271.6
27-06-2018,1660.51,269.35
28-06-2018,1701.45,270.89
29-06-2018,1699.8,271.28
02-07-2018,1713.78,271.86
03-07-2018,1693.96,270.9
05-07-2018,1699.73,273.11
06-07-2018,1710.63,275.42
09-07-2018,1739.02,277.9
10-07-2018,1743.07,278.9
11-07-2018,1755,276.86
12-07-2018,1796.62,279.37
13-07-2018,1813.03,279.59
16-07-2018,1822.49,279.34
17-07-2018,1843.93,280.47
18-07-2018,1842.92,281.06
19-07-2018,1812.97,280
20-07-2018,1813.7,279.68
23-07-2018,1802,280.2
24-07-2018,1829.24,281.61
25-07-2018,1863.61,284.01
26-07-2018,1808,283.34
27-07-2018,1817.27,281.42
30-07-2018,1779.22,279.95
31-07-2018,1777.44,281.33
01-08-2018,1797.17,280.86
02-08-2018,1834.33,282.39
03-08-2018,1823.29,283.6
06-08-2018,1847.75,284.64
07-08-2018,1862.48,285.58
08-08-2018,1886.52,285.46
09-08-2018,1898.52,285.07
10-08-2018,1886.3,283.16
13-08-2018,1896.2,282.1
14-08-2018,1919.65,283.9
15-08-2018,1882.62,281.78
16-08-2018,1886.52,284.06
17-08-2018,1882.22,285.06
20-08-2018,1876.71,285.67
21-08-2018,1883.42,286.34
22-08-2018,1904.9,286.17
23-08-2018,1902.9,285.79
24-08-2018,1905.39,287.51
27-08-2018,1927.68,289.78
28-08-2018,1932.82,289.92
29-08-2018,1998.1,291.48
30-08-2018,2002.38,290.3
31-08-2018,2012.71,290.31
04-09-2018,2039.51,289.81
05-09-2018,1994.82,289.03
06-09-2018,1958.31,288.16
07-09-2018,1952.07,287.6
10-09-2018,1939.01,288.1
11-09-2018,1987.15,289.05
12-09-2018,1990,289.12
13-09-2018,1989.87,290.83
14-09-2018,1970.19,290.88
17-09-2018,1908.03,289.34
18-09-2018,1941.05,290.91
19-09-2018,1926.42,291.22
20-09-2018,1944.3,293.58
21-09-2018,1915.01,291.99
24-09-2018,1934.36,291.02
25-09-2018,1974.55,290.75
26-09-2018,1974.85,289.88
27-09-2018,2012.98,290.69
28-09-2018,2003,290.72
01-10-2018,2004.36,291.73
02-10-2018,1971.31,291.56
03-10-2018,1952.76,291.72
04-10-2018,1909.42,289.44
05-10-2018,1889.65,287.82
08-10-2018,1864.42,287.82
09-10-2018,1870.32,287.4
10-10-2018,1755.25,278.3
11-10-2018,1719.36,272.17
12-10-2018,1788.61,275.95
15-10-2018,1760.95,274.4
16-10-2018,1819.96,280.4
17-10-2018,1831.73,280.45
18-10-2018,1770.72,276.4
19-10-2018,1764.03,276.25
