Date,CVX,GOOGL,MSFT
04-01-2016,88.85,759.440002,54.8
05-01-2016,89.61,761.530029,55.05
06-01-2016,86.07,759.330017,54.05
07-01-2016,83.02,741,52.17
08-01-2016,82.13,730.909973,52.33
11-01-2016,80.77,733.070007,52.3
12-01-2016,82.15,745.340027,52.78
13-01-2016,81.33,719.570007,51.64
14-01-2016,85.47,731.390015,53.11
15-01-2016,83.67,710.48999,50.99
19-01-2016,81.51,719.080017,50.56
20-01-2016,78.98,718.559998,50.79
21-01-2016,81.05,726.669983,50.48
22-01-2016,83.54,745.460022,52.29
25-01-2016,80.89,733.619995,51.79
26-01-2016,84.12,733.789978,52.17
27-01-2016,83.29,717.580017,51.22
28-01-2016,85.92,748.299988,52.06
29-01-2016,86.47,761.349976,55.09
01-02-2016,85.29,770.77002,54.71
02-02-2016,81.24,780.909973,53
03-02-2016,84.62,749.380005,52.16
04-02-2016,84.79,730.030029,52
05-02-2016,82.88,703.76001,50.16
08-02-2016,85.99,704.159973,49.41
09-02-2016,82.92,701.02002,49.28
10-02-2016,83.04,706.849976,49.71
11-02-2016,82.99,706.359985,49.69
12-02-2016,85.43,706.890015,50.5
16-02-2016,84.81,717.640015,51.09
17-02-2016,88.31,731.969971,52.42
18-02-2016,86.73,717.51001,52.19
19-02-2016,86.5,722.109985,51.82
22-02-2016,88.82,729.049988,52.65
23-02-2016,84.91,717.289978,51.18
24-02-2016,85.27,720.900024,51.36
25-02-2016,85.3,729.119995,52.1
26-02-2016,84.35,724.859985,51.3
29-02-2016,83.44,717.219971,50.88
01-03-2016,86.13,742.169983,52.58
02-03-2016,87.14,739.47998,52.95
03-03-2016,87.53,731.590027,52.35
04-03-2016,87.93,730.219971,52.03
07-03-2016,90.67,712.799988,51.03
08-03-2016,88.74,713.530029,51.65
09-03-2016,92.82,725.409973,52.84
10-03-2016,93.94,732.169983,52.05
11-03-2016,94.58,744.869995,53.07
14-03-2016,94.26,750.23999,53.17
15-03-2016,94.27,750.570007,53.59
16-03-2016,95.4,757.359985,54.35
17-03-2016,96.89,758.47998,54.66
18-03-2016,97.69,755.409973,53.49
21-03-2016,96.44,762.159973,53.86
22-03-2016,95.5,760.049988,54.07
23-03-2016,93.59,757.559998,53.97
24-03-2016,94.85,754.840027,54.21
28-03-2016,94.68,753.280029,53.54
29-03-2016,95.32,765.890015,54.71
30-03-2016,95.25,768.340027,55.05
31-03-2016,95.4,762.900024,55.23
01-04-2016,94.26,769.669983,55.57
04-04-2016,93.43,765.119995,55.43
05-04-2016,92.67,758.570007,54.56
06-04-2016,94.84,768.070007,55.12
07-04-2016,94.79,760.119995,54.46
08-04-2016,96.33,759.469971,54.42
11-04-2016,95.24,757.539978,54.31
12-04-2016,97.51,764.320007,54.65
13-04-2016,97.6,771.909973,55.35
14-04-2016,97.98,775.390015,55.36
15-04-2016,97.23,780,55.65
18-04-2016,98.7,787.679993,56.46
19-04-2016,100.5,776.25,56.39
20-04-2016,101.69,774.919983,55.59
21-04-2016,101.4,780,55.78
22-04-2016,102.01,737.77002,51.78
25-04-2016,101.51,742.210022,52.11
26-04-2016,102.29,725.369995,51.44
27-04-2016,103.85,721.460022,50.94
28-04-2016,102.4,705.059998,49.9
29-04-2016,102.18,707.880005,49.87
02-05-2016,103.31,714.409973,50.61
03-05-2016,101.32,708.440002,49.78
04-05-2016,100.59,711.369995,49.87
05-05-2016,101.42,714.710022,49.94
06-05-2016,101.86,725.179993,50.39
09-05-2016,100.35,729.130005,50.07
10-05-2016,101.27,739.380005,51.02
11-05-2016,101.14,730.549988,51.05
12-05-2016,102.12,728.070007,51.51
13-05-2016,100.74,724.830017,51.08
16-05-2016,102.29,730.299988,51.83
17-05-2016,100.75,720.190002,50.51
