Date,CVX,IBM
04-01-2016,88.85,135.95
05-01-2016,89.61,135.85
06-01-2016,86.07,135.17
07-01-2016,83.02,132.86
08-01-2016,82.13,131.63
11-01-2016,80.77,133.23
12-01-2016,82.15,132.9
13-01-2016,81.33,131.17
14-01-2016,85.47,132.91
15-01-2016,83.67,130.03
19-01-2016,81.51,128.11
20-01-2016,78.98,121.86
21-01-2016,81.05,122.91
22-01-2016,83.54,122.5
25-01-2016,80.89,122.08
26-01-2016,84.12,122.59
27-01-2016,83.29,120.96
28-01-2016,85.92,122.22
29-01-2016,86.47,124.79
01-02-2016,85.29,124.83
02-02-2016,81.24,122.94
03-02-2016,84.62,124.72
04-02-2016,84.79,127.65
05-02-2016,82.88,128.57
08-02-2016,85.99,126.98
09-02-2016,82.92,124.07
10-02-2016,83.04,120.19
11-02-2016,82.99,117.85
12-02-2016,85.43,121.04
16-02-2016,84.81,122.74
17-02-2016,88.31,126.1
18-02-2016,86.73,132.45
19-02-2016,86.5,133.08
22-02-2016,88.82,133.77
23-02-2016,84.91,132.4
24-02-2016,85.27,132.8
25-02-2016,85.3,134.5
26-02-2016,84.35,132.03
29-02-2016,83.44,131.03
01-03-2016,86.13,134.37
02-03-2016,87.14,136.3
03-03-2016,87.53,137.8
04-03-2016,87.93,137.8
07-03-2016,90.67,140.15
08-03-2016,88.74,139.07
09-03-2016,92.82,140.41
10-03-2016,93.94,140.19
11-03-2016,94.58,142.36
14-03-2016,94.26,142.78
15-03-2016,94.27,142.96
16-03-2016,95.4,144.79
17-03-2016,96.89,147.04
18-03-2016,97.69,147.09
21-03-2016,96.44,148.63
22-03-2016,95.5,148.1
23-03-2016,93.59,145.4
24-03-2016,94.85,147.95
28-03-2016,94.68,148.4
29-03-2016,95.32,149.33
30-03-2016,95.25,148.41
31-03-2016,95.4,151.45
01-04-2016,94.26,152.52
04-04-2016,93.43,152.07
05-04-2016,92.67,150
06-04-2016,94.84,150.02
07-04-2016,94.79,148.25
08-04-2016,96.33,149.35
11-04-2016,95.24,149.25
12-04-2016,97.51,149.63
13-04-2016,97.6,151.23
14-04-2016,97.98,151.16
15-04-2016,97.23,151.72
18-04-2016,98.7,152.53
19-04-2016,100.5,144
20-04-2016,101.69,146.11
21-04-2016,101.4,149.3
22-04-2016,102.01,148.5
25-04-2016,101.51,148.81
26-04-2016,102.29,149.08
27-04-2016,103.85,150.47
28-04-2016,102.4,147.07
29-04-2016,102.18,145.94
02-05-2016,103.31,145.27
03-05-2016,101.32,144.13
04-05-2016,100.59,144.25
05-05-2016,101.42,146.47
06-05-2016,101.86,147.29
09-05-2016,100.35,147.34
10-05-2016,101.27,149.97
11-05-2016,101.14,148.95
12-05-2016,102.12,148.84
13-05-2016,100.74,147.72
16-05-2016,102.29,149.46
17-05-2016,100.75,148
18-05-2016,100.06,147.34
19-05-2016,99.85,144.93
20-05-2016,99.79,147.25
23-05-2016,99.38,146.77
24-05-2016,100.19,148.31
25-05-2016,101.77,151.69
26-05-2016,101.5,152.44
27-05-2016,102.02,152.84
31-05-2016,101,153.74
01-06-2016,101.13,152.51
02-06-2016,100.53,153.5
03-06-2016,100.66,152.89
06-06-2016,101.17,152.73
07-06-2016,103.32,153.33
08-06-2016,103.09,154
09-06-2016,102.81,153.42
10-06-2016,101.98,152.37
13-06-2016,102.1,151.28
14-06-2016,101.28,151.06
15-06-2016,100.63,150.68
16-06-2016,101.07,151.06
17-06-2016,101.57,151.99
20-06-2016,102.61,153.61
21-06-2016,103.24,154.05
22-06-2016,102.29,152.92
23-06-2016,104.44,155.35
24-06-2016,101.9,146.59
27-06-2016,100.36,143.5
28-06-2016,101.63,145.7
29-06-2016,103.42,148.46
30-06-2016,104.83,151.78
01-07-2016,104.15,152.35
05-07-2016,103.57,151.68
06-07-2016,104.58,152.37
07-07-2016,103.05,152.6
08-07-2016,104.77,154.46
11-07-2016,105.39,155.33
12-07-2016,106.78,157.04
13-07-2016,106.65,158.02
14-07-2016,106.7,160.28
15-07-2016,107.03,159.78
18-07-2016,106.09,159.86
19-07-2016,106.04,159.58
20-07-2016,105.59,161.36
21-07-2016,105.39,160.45
22-07-2016,105.66,162.07
25-07-2016,103.07,162.65
26-07-2016,102.68,162.12
27-07-2016,102.26,161.83
28-07-2016,101.79,161.37
29-07-2016,102.48,160.62
01-08-2016,99.11,161.45
02-08-2016,99.59,160.58
03-08-2016,100.61,160.67
04-08-2016,100.39,161.55
05-08-2016,100.51,163.5
08-08-2016,101.2,162.04
09-08-2016,101.32,161.77
10-08-2016,100.14,162.08
11-08-2016,101.4,163.53
12-08-2016,102.16,161.95
15-08-2016,102.77,161.88
16-08-2016,102.62,160.7
17-08-2016,102.22,160.44
18-08-2016,103.55,161.36
19-08-2016,102.32,160.04
22-08-2016,101.94,160
23-08-2016,101.68,160.26
24-08-2016,102.2,159.05
25-08-2016,101.89,158.63
26-08-2016,101.32,158.32
29-08-2016,102.05,159.72
30-08-2016,101.7,159.4
31-08-2016,100.58,158.88
01-09-2016,100.21,159.54
02-09-2016,100.93,159.55
06-09-2016,102.43,160.35
07-09-2016,102.88,161.64
08-09-2016,104.12,159
09-09-2016,101.27,155.69
12-09-2016,102.25,158.29
13-09-2016,99.43,155.81
14-09-2016,98.42,154.05
15-09-2016,99.5,155.66
16-09-2016,97.84,153.84
19-09-2016,98.04,154.87
20-09-2016,97.7,154.45
21-09-2016,99.63,155.53
22-09-2016,99.98,156.11
23-09-2016,99.22,154.98
26-09-2016,98.78,153.98
27-09-2016,98.98,156.77
28-09-2016,102.15,158.29
29-09-2016,101.27,158.11
30-09-2016,102.92,158.85
03-10-2016,102.45,157.61
04-10-2016,101.27,156.46
05-10-2016,102.23,157.08
06-10-2016,102.18,156.88
